Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,2.27,2.27,2.18,2.18,7100,8.72
2013-12-30,2.21,2.28,2.16,2.24,2000,8.96
2013-12-27,2.27,2.32,2.15,2.21,6600,8.84
2013-12-26,2.24,2.34,2.22,2.29,13900,9.16
2013-12-24,2.19,2.26,2.19,2.26,1200,9.04
2013-12-23,2.30,2.32,2.16,2.19,13200,8.76
2013-12-20,2.25,2.29,2.25,2.27,4500,9.08
2013-12-19,2.23,2.31,2.22,2.31,4000,9.24
2013-12-18,2.23,2.27,2.16,2.23,14300,8.92
2013-12-17,2.19,2.34,2.18,2.23,9800,8.92
2013-12-16,2.18,2.27,2.15,2.27,7200,9.08
2013-12-13,2.19,2.25,2.11,2.23,10600,8.92
2013-12-12,2.26,2.35,2.07,2.16,20600,8.64
2013-12-11,2.42,2.42,2.20,2.25,18600,9.00
2013-12-10,2.30,2.47,2.30,2.44,37900,9.76
2013-12-09,2.26,2.39,2.26,2.30,39200,9.20
2013-12-06,2.23,2.30,2.14,2.19,44000,8.76
2013-12-05,2.02,2.20,1.99,2.20,43100,8.80
2013-12-04,1.88,2.10,1.88,2.00,25900,8.00
2013-12-03,1.80,1.94,1.80,1.88,8600,7.52
2013-12-02,1.79,1.83,1.79,1.83,5100,7.32
2013-11-29,1.83,1.86,1.78,1.79,5700,7.16
2013-11-27,1.76,1.84,1.75,1.83,2800,7.32
2013-11-26,1.73,1.79,1.73,1.77,6300,7.08
2013-11-25,1.84,1.84,1.72,1.73,11800,6.92
2013-11-22,1.80,1.87,1.79,1.79,9700,7.16
2013-11-21,1.80,1.90,1.75,1.84,23600,7.36
2013-11-20,1.68,1.84,1.67,1.73,24700,6.92
2013-11-19,1.95,1.99,1.47,1.67,83500,6.68
2013-11-18,2.15,2.15,1.98,2.01,52700,8.04
2013-11-15,2.01,2.18,1.96,2.15,46500,8.60
2013-11-14,2.05,2.05,1.88,1.95,68600,7.80
2013-11-13,1.95,1.95,1.77,1.90,25800,7.60
2013-11-12,1.83,1.99,1.71,1.97,43200,7.88
2013-11-11,1.84,1.84,1.73,1.79,12000,7.16
2013-11-08,1.71,1.82,1.71,1.81,12700,7.24
2013-11-07,1.82,1.84,1.70,1.70,34000,6.80
2013-11-06,1.62,1.84,1.61,1.80,50100,7.20
2013-11-05,1.60,1.67,1.60,1.60,16700,6.40
2013-11-04,1.50,1.64,1.50,1.57,4800,6.28
2013-11-01,1.38,1.55,1.38,1.47,10500,5.88
2013-10-31,1.49,1.49,1.30,1.41,30900,5.64
2013-10-30,1.50,1.57,1.46,1.49,26900,5.96
2013-10-29,1.56,1.60,1.54,1.55,6700,6.20
2013-10-28,1.60,1.65,1.51,1.54,9800,6.16
2013-10-25,1.57,1.66,1.55,1.56,17300,6.24
2013-10-24,1.69,1.69,1.51,1.54,30500,6.16
2013-10-23,1.70,1.77,1.65,1.67,56300,6.68
2013-10-22,1.79,1.79,1.68,1.72,27600,6.88
2013-10-21,1.76,1.87,1.69,1.74,28200,6.96
2013-10-18,1.70,1.78,1.67,1.72,41700,6.88
2013-10-17,1.78,1.84,1.67,1.69,32000,6.76
2013-10-16,1.73,1.95,1.66,1.72,59900,6.88
2013-10-15,1.61,1.93,1.60,1.76,50300,7.04
2013-10-14,1.72,1.72,1.52,1.61,31100,6.44
2013-10-11,1.69,1.80,1.67,1.72,45200,6.88
2013-10-10,1.60,1.84,1.55,1.73,113000,6.92
2013-10-09,1.29,1.88,1.28,1.64,333700,6.56
2013-10-08,1.25,1.40,1.25,1.27,73100,5.08
2013-10-07,1.25,1.30,1.24,1.25,16400,5.00
2013-10-04,1.26,1.35,1.21,1.35,61300,5.40
2013-10-03,1.06,1.44,1.06,1.30,280000,5.20
2013-10-02,1.03,1.03,0.96,1.02,34000,4.08
