Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,1.30,1.31,1.23,1.26,14800,5.04
2011-12-29,1.36,1.36,1.29,1.30,2800,5.20
2011-12-28,1.38,1.40,1.35,1.40,5300,5.60
2011-12-27,1.34,1.43,1.26,1.43,9700,5.72
2011-12-23,1.47,1.47,1.35,1.35,3200,5.40
2011-12-22,1.40,1.47,1.40,1.44,600,5.76
2011-12-21,1.30,1.40,1.27,1.40,11600,5.60
2011-12-20,1.30,1.34,1.25,1.26,2200,5.04
2011-12-19,1.35,1.41,1.26,1.26,6100,5.04
2011-12-16,1.48,1.49,1.35,1.35,3000,5.40
2011-12-15,1.35,1.54,1.35,1.35,4800,5.40
2011-12-14,1.38,1.50,1.35,1.35,3800,5.40
2011-12-13,1.43,1.54,1.39,1.39,3000,5.56
2011-12-12,1.48,1.52,1.48,1.52,700,6.08
2011-12-09,1.52,1.54,1.48,1.48,1400,5.92
2011-12-08,1.41,1.51,1.41,1.51,1100,6.04
2011-12-07,1.51,1.56,1.45,1.46,6900,5.84
2011-12-06,1.60,1.60,1.47,1.50,1900,6.00
2011-12-05,1.61,1.66,1.60,1.61,900,6.44
2011-12-02,1.62,1.68,1.57,1.59,3600,6.36
2011-12-01,1.63,1.68,1.55,1.55,3000,6.20
2011-11-30,1.65,1.70,1.62,1.66,7000,6.64
2011-11-29,1.70,1.75,1.65,1.70,2700,6.80
2011-11-28,1.83,1.90,1.80,1.88,900,7.52
2011-11-25,1.84,1.92,1.75,1.84,1100,7.36
2011-11-23,1.81,1.94,1.78,1.84,4700,7.36
2011-11-22,1.78,1.98,1.78,1.98,14500,7.92
2011-11-21,1.75,1.94,1.75,1.94,2300,7.76
2011-11-18,1.90,1.95,1.75,1.78,9700,7.12
2011-11-17,1.90,1.98,1.90,1.97,2300,7.88
2011-11-16,1.91,2.04,1.90,1.99,13100,7.96
2011-11-15,2.15,2.15,1.91,1.96,8900,7.84
2011-11-14,2.29,2.38,2.03,2.13,27500,8.52
2011-11-11,2.36,2.39,2.15,2.29,4500,9.16
2011-11-10,2.29,2.30,2.23,2.30,1600,9.20
2011-11-09,2.11,2.30,2.01,2.28,5200,9.12
2011-11-08,1.97,2.19,1.94,2.19,1600,8.76
2011-11-07,2.06,2.10,1.91,2.10,2100,8.40
2011-11-04,1.86,2.10,1.84,2.05,3000,8.20
2011-11-03,2.00,2.04,1.95,2.00,2100,8.00
2011-11-02,1.83,2.00,1.83,1.98,14900,7.92
2011-11-01,1.68,1.84,1.67,1.82,15200,7.28
2011-10-31,1.83,1.86,1.68,1.80,8800,7.20
2011-10-28,1.85,1.85,1.59,1.81,18400,7.24
2011-10-27,1.52,1.75,1.47,1.72,14600,6.88
2011-10-26,1.36,1.49,1.27,1.49,6700,5.96
2011-10-25,1.37,1.44,1.32,1.35,9400,5.40
2011-10-24,1.35,1.44,1.32,1.40,6500,5.60
2011-10-21,1.36,1.45,1.36,1.38,5700,5.52
2011-10-20,1.38,1.45,1.33,1.33,7200,5.32
2011-10-19,1.55,1.63,1.37,1.45,6700,5.80
2011-10-18,1.59,1.64,1.53,1.55,1600,6.20
2011-10-17,1.69,1.69,1.54,1.63,4800,6.52
2011-10-14,1.74,1.74,1.65,1.68,2000,6.72
2011-10-13,1.73,1.79,1.71,1.71,1800,6.84
2011-10-12,1.76,1.84,1.65,1.76,5000,7.04
2011-10-11,1.80,1.80,1.78,1.78,1900,7.12
2011-10-10,1.86,1.89,1.81,1.85,3100,7.40
2011-10-07,1.89,1.89,1.76,1.83,2800,7.32
2011-10-06,1.62,1.86,1.62,1.76,11300,7.04
2011-10-05,1.46,1.74,1.42,1.60,5300,6.40
2011-10-04,1.40,1.52,1.40,1.50,6100,6.00
2011-10-03,1.37,1.49,1.35,1.41,4600,5.64
2011-09-30,1.30,1.41,1.22,1.35,4900,5.40
2011-09-29,1.46,1.46,1.31,1.32,6800,5.28
2011-09-28,1.61,1.67,1.33,1.45,9800,5.80
2011-09-27,1.62,1.70,1.61,1.62,5000,6.48
2011-09-26,1.64,1.82,1.61,1.61,6200,6.44
2011-09-23,1.68,1.79,1.65,1.76,6300,7.04
2011-09-22,1.80,1.89,1.60,1.71,10600,6.84
2011-09-21,1.87,1.90,1.71,1.73,19000,6.92
2011-09-20,1.95,2.00,1.76,1.98,12600,7.92
2011-09-19,2.02,2.03,1.88,1.99,14100,7.96
2011-09-16,2.00,2.05,2.00,2.01,3100,8.04
2011-09-15,2.02,2.09,1.99,2.00,24700,8.00
2011-09-14,2.10,2.17,2.01,2.01,7200,8.04
2011-09-13,2.17,2.19,2.01,2.06,2700,8.24
2011-09-12,2.15,2.15,2.06,2.06,2500,8.24
2011-09-09,2.14,2.16,2.05,2.10,5700,8.40
2011-09-08,2.20,2.20,2.09,2.13,4900,8.52
2011-09-07,2.24,2.35,2.10,2.15,8000,8.60
2011-09-06,2.22,2.30,2.15,2.20,4000,8.80
2011-09-02,2.17,2.35,2.17,2.25,11200,9.00
2011-09-01,2.30,2.38,2.20,2.35,13900,9.40
2011-08-31,2.35,2.35,2.25,2.34,7000,9.36
2011-08-30,2.37,2.37,2.16,2.25,8700,9.00
2011-08-29,2.12,2.44,2.10,2.31,6500,9.24
2011-08-26,2.24,2.28,2.10,2.15,5900,8.60
2011-08-25,2.23,2.30,2.10,2.19,5500,8.76
2011-08-24,2.30,2.30,2.18,2.20,1200,8.80
2011-08-23,2.22,2.32,2.16,2.31,7500,9.24
2011-08-22,2.25,2.34,2.10,2.26,12700,9.04
2011-08-19,2.33,2.46,2.24,2.34,4600,9.36
2011-08-18,2.29,2.51,2.19,2.51,2200,10.04
2011-08-17,2.30,2.39,2.25,2.30,2900,9.20
2011-08-16,2.56,2.79,2.40,2.46,21400,9.84
2011-08-15,2.50,2.56,2.38,2.56,4800,10.24
2011-08-12,2.42,2.48,2.39,2.48,6100,9.92
2011-08-11,2.18,2.42,2.18,2.30,3000,9.20
2011-08-10,2.16,2.30,2.16,2.23,7100,8.92
2011-08-09,2.22,2.29,2.10,2.15,3400,8.60
2011-08-08,2.34,2.34,2.03,2.17,4600,8.68
2011-08-05,2.49,2.49,2.33,2.37,3300,9.48
2011-08-04,2.55,2.55,2.40,2.43,6900,9.72
2011-08-03,2.57,2.64,2.53,2.56,3200,10.24
2011-08-02,2.57,2.82,2.57,2.60,9000,10.40
2011-08-01,2.67,2.68,2.57,2.61,2200,10.44
2011-07-29,2.53,2.64,2.52,2.55,2000,10.20
2011-07-28,2.56,2.70,2.53,2.53,7200,10.12
2011-07-27,2.75,2.84,2.50,2.52,9500,10.08
2011-07-26,2.78,2.83,2.65,2.75,1500,11.00
2011-07-25,2.88,2.95,2.70,2.75,8000,11.00
2011-07-22,2.86,2.94,2.84,2.84,4400,11.36
2011-07-21,2.95,2.95,2.85,2.89,9600,11.56
2011-07-20,2.90,2.95,2.76,2.94,6700,11.76
2011-07-19,2.70,2.81,2.70,2.81,3800,11.24
2011-07-18,2.82,2.84,2.65,2.66,7500,10.64
2011-07-15,2.84,2.88,2.80,2.82,4800,11.28
2011-07-14,2.90,2.91,2.80,2.87,6700,11.48
2011-07-13,2.71,2.90,2.66,2.90,12200,11.60
2011-07-12,2.72,2.78,2.57,2.72,5000,10.88
2011-07-11,2.73,2.79,2.71,2.77,10100,11.08
2011-07-08,2.80,2.88,2.61,2.71,5200,10.84
2011-07-07,2.52,2.88,2.44,2.78,22700,11.12
2011-07-06,2.45,2.49,2.32,2.44,4500,9.76
2011-07-05,2.50,2.68,2.47,2.49,5000,9.96
2011-07-01,2.30,2.47,2.28,2.47,6700,9.88
2011-06-30,2.31,2.40,2.27,2.37,3500,9.48
2011-06-29,2.40,2.40,2.28,2.36,5300,9.44
2011-06-28,2.34,2.43,2.26,2.30,5600,9.20
2011-06-27,2.41,2.41,2.20,2.27,6600,9.08
2011-06-24,2.48,2.62,2.31,2.41,8100,9.64
2011-06-23,2.18,2.49,2.18,2.44,2900,9.76
2011-06-22,2.10,2.25,2.07,2.21,7600,8.84
2011-06-21,2.05,2.14,2.05,2.10,10200,8.40
2011-06-20,2.18,2.27,2.05,2.05,4500,8.20
2011-06-17,2.19,2.25,2.05,2.07,5600,8.28
2011-06-16,2.07,2.18,2.05,2.13,10500,8.52
2011-06-15,2.10,2.16,2.07,2.11,7100,8.44
2011-06-14,2.01,2.22,2.01,2.12,9900,8.48
2011-06-13,2.10,2.17,2.02,2.04,18700,8.16
2011-06-10,2.34,2.34,2.13,2.14,11800,8.56
2011-06-09,2.34,2.40,2.34,2.34,4100,9.36
2011-06-08,2.51,2.51,2.32,2.40,8200,9.60
2011-06-07,2.57,2.59,2.33,2.47,7100,9.88
2011-06-06,2.55,2.61,2.51,2.56,3400,10.24
2011-06-03,2.73,2.76,2.58,2.60,3000,10.40
2011-06-02,2.74,2.79,2.74,2.79,1400,11.16
2011-06-01,2.76,2.77,2.74,2.74,4500,10.96
2011-05-31,2.84,2.86,2.78,2.79,2400,11.16
2011-05-27,2.75,2.83,2.75,2.83,1500,11.32
2011-05-26,2.82,2.82,2.75,2.76,2400,11.04
2011-05-25,2.79,2.84,2.77,2.79,2700,11.16
2011-05-24,2.92,2.92,2.77,2.77,3800,11.08
2011-05-23,2.96,2.96,2.77,2.84,5000,11.36
2011-05-20,2.69,2.89,2.69,2.85,3800,11.40
2011-05-19,2.84,2.84,2.65,2.68,17000,10.72
2011-05-18,2.98,3.04,2.87,2.88,7900,11.52
2011-05-17,2.97,3.07,2.95,2.98,3600,11.92
2011-05-16,3.20,3.20,2.93,2.97,17500,11.88
2011-05-13,3.20,3.20,3.00,3.01,8400,12.04
2011-05-12,2.96,3.19,2.96,3.13,10500,12.52
2011-05-11,3.30,3.30,2.99,3.04,21600,12.16
2011-05-10,2.86,3.28,2.75,3.25,43500,13.00
2011-05-09,3.08,3.09,2.53,2.87,44000,11.48
2011-05-06,3.22,3.25,3.04,3.08,13000,12.32
2011-05-05,3.24,3.26,3.15,3.15,9600,12.60
2011-05-04,3.18,3.25,3.18,3.20,5800,12.80
2011-05-03,3.23,3.25,3.17,3.18,9800,12.72
2011-05-02,3.20,3.25,3.20,3.25,15200,13.00
2011-04-29,3.24,3.31,3.21,3.25,11000,13.00
2011-04-28,3.37,3.44,3.07,3.20,14500,12.80
2011-04-27,3.55,3.55,3.36,3.42,7200,13.68
2011-04-26,3.58,3.58,3.47,3.50,9100,14.00
2011-04-25,3.39,3.60,3.34,3.59,8800,14.36
2011-04-21,3.40,3.42,3.31,3.38,9300,13.52
2011-04-20,3.40,3.52,3.35,3.38,22300,13.52
2011-04-19,3.35,3.45,3.35,3.40,12400,13.60
2011-04-18,3.39,3.48,3.35,3.43,4100,13.72
2011-04-15,3.53,3.63,3.39,3.40,19800,13.60
2011-04-14,3.43,3.53,3.34,3.50,7800,14.00
2011-04-13,3.67,3.69,3.51,3.51,15900,14.04
2011-04-12,3.78,3.80,3.61,3.62,16500,14.48
2011-04-11,3.70,3.92,3.68,3.77,15500,15.08
2011-04-08,3.85,3.90,3.70,3.71,13400,14.84
2011-04-07,4.00,4.09,3.85,3.86,11500,15.44
2011-04-06,4.05,4.05,3.92,4.00,15700,16.00
2011-04-05,4.11,4.11,4.01,4.02,6800,16.08
2011-04-04,4.24,4.24,4.04,4.12,10900,16.48
2011-04-01,4.20,4.25,4.15,4.17,8500,16.68
2011-03-31,4.25,4.25,4.04,4.15,10700,16.60
2011-03-30,4.12,4.15,3.97,4.05,17400,16.200001
2011-03-29,4.20,4.25,3.90,4.05,30500,16.200001
2011-03-28,4.28,4.40,4.15,4.16,10500,16.639999
2011-03-25,4.12,4.29,4.10,4.22,11600,16.879999
2011-03-24,4.30,4.30,4.08,4.11,32000,16.440001
2011-03-23,4.48,4.49,4.25,4.30,6400,17.200001
2011-03-22,4.43,4.54,4.31,4.40,8300,17.60
2011-03-21,4.76,4.76,4.40,4.41,6100,17.639999
2011-03-18,4.66,5.00,4.43,4.64,28600,18.559999
2011-03-17,4.25,4.88,4.25,4.88,20900,19.52
2011-03-16,4.41,4.59,4.24,4.32,16400,17.280001
2011-03-15,4.14,4.60,4.11,4.46,28500,17.84
2011-03-14,4.95,4.97,4.64,4.75,16900,19.00
2011-03-11,4.88,4.99,4.83,4.90,12200,19.60
2011-03-10,5.09,5.09,4.76,4.92,16300,19.68
2011-03-09,5.21,5.25,5.06,5.13,8100,20.52
2011-03-08,5.21,5.23,5.01,5.20,12100,20.799999
2011-03-07,4.91,5.25,4.88,5.25,29600,21.00
2011-03-04,4.88,4.93,4.83,4.89,6800,19.559999
2011-03-03,4.91,4.91,4.83,4.83,5600,19.32
2011-03-02,4.86,4.88,4.78,4.84,14100,19.360001
2011-03-01,4.99,5.00,4.73,4.79,23000,19.16
2011-02-28,4.91,4.98,4.85,4.89,15000,19.559999
2011-02-25,4.80,4.90,4.73,4.82,14700,19.280001
2011-02-24,4.78,4.87,4.45,4.70,25800,18.799999
2011-02-23,4.61,4.97,4.61,4.76,48800,19.040001
2011-02-22,4.15,4.60,4.15,4.54,64000,18.16
2011-02-18,4.04,4.12,4.04,4.12,17500,16.48
2011-02-17,4.11,4.11,4.03,4.06,32300,16.24
2011-02-16,4.02,4.10,4.02,4.07,34900,16.280001
2011-02-15,4.06,4.06,4.01,4.03,25600,16.120001
2011-02-14,4.06,4.09,3.95,3.99,52200,15.96
2011-02-11,4.11,4.11,4.00,4.06,46000,16.24
2011-02-10,4.05,4.15,3.98,4.07,64900,16.280001
2011-02-09,4.32,4.32,4.06,4.12,27600,16.48
2011-02-08,4.50,4.50,4.21,4.36,29500,17.440001
2011-02-07,4.50,4.63,4.48,4.48,17200,17.92
2011-02-04,4.89,4.89,4.40,4.48,47200,17.92
2011-02-03,5.05,5.11,4.84,4.86,22200,19.440001
2011-02-02,5.20,5.20,5.02,5.09,9500,20.360001
2011-02-01,5.17,5.20,5.14,5.20,6600,20.799999
2011-01-31,5.30,5.30,5.02,5.11,17200,20.440001
2011-01-28,5.52,5.60,5.28,5.34,18600,21.360001
2011-01-27,5.56,5.60,5.50,5.52,5900,22.08
2011-01-26,5.64,5.64,5.52,5.59,9700,22.360001
2011-01-25,5.77,5.77,5.52,5.75,9000,23.00
2011-01-24,5.70,5.81,5.70,5.77,4100,23.08
2011-01-21,5.70,5.71,5.50,5.70,14900,22.799999
2011-01-20,5.85,5.85,5.61,5.67,14300,22.68
2011-01-19,5.88,6.14,5.75,5.78,29200,23.120001
2011-01-18,5.97,5.97,5.82,5.84,10900,23.360001
2011-01-14,5.85,5.97,5.75,5.83,17600,23.32
2011-01-13,6.05,6.05,5.83,5.85,15500,23.40
2011-01-12,6.15,6.15,5.95,5.99,17200,23.959999
2011-01-11,6.12,6.15,5.94,6.08,16600,24.32
2011-01-10,6.20,6.20,5.91,5.95,24600,23.799999
2011-01-07,5.99,7.34,5.97,5.97,191600,23.879999
2011-01-06,5.81,6.00,5.80,5.81,10200,23.24
2011-01-05,5.89,6.00,5.67,5.78,10100,23.120001
2011-01-04,6.20,6.20,5.83,5.87,16800,23.48
2011-01-03,6.34,6.35,6.05,6.05,14400,24.200001
