Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,3.45,3.46,3.40,3.44,17300,3.44
2010-12-30,3.46,3.48,3.44,3.45,10200,3.45
2010-12-29,3.40,3.47,3.38,3.45,19600,3.45
2010-12-28,3.49,3.49,3.44,3.45,10900,3.45
2010-12-27,3.47,3.51,3.44,3.49,33300,3.49
2010-12-23,3.43,3.52,3.37,3.48,23100,3.48
2010-12-22,3.35,3.44,3.30,3.44,5500,3.44
2010-12-21,3.31,3.42,3.31,3.41,19000,3.41
2010-12-20,3.40,3.46,3.28,3.28,21600,3.28
2010-12-17,3.51,3.55,3.33,3.37,71300,3.37
2010-12-16,3.51,3.51,3.33,3.50,27100,3.50
2010-12-15,3.28,3.41,3.28,3.40,37700,3.40
2010-12-14,3.28,3.34,3.21,3.30,30800,3.30
2010-12-13,3.25,3.28,3.12,3.26,328600,3.26
2010-12-10,3.26,3.26,3.12,3.25,26000,3.25
2010-12-09,3.23,3.35,3.19,3.25,28800,3.25
2010-12-08,3.24,3.31,3.19,3.19,38800,3.19
2010-12-07,3.23,3.25,3.10,3.22,16900,3.22
2010-12-06,3.04,3.23,3.00,3.19,50300,3.19
2010-12-03,3.00,3.06,3.00,3.05,9600,3.05
2010-12-02,3.00,3.03,2.99,3.01,30500,3.01
2010-12-01,3.03,3.03,2.95,2.99,31400,2.99
2010-11-30,2.97,3.01,2.93,2.98,27700,2.98
2010-11-29,2.95,3.02,2.93,2.99,16500,2.99
2010-11-26,2.97,3.03,2.97,2.98,5100,2.98
2010-11-24,2.99,3.08,2.96,3.00,6700,3.00
2010-11-23,2.98,3.00,2.95,2.96,12700,2.96
2010-11-22,2.90,3.07,2.90,3.00,23800,3.00
2010-11-19,3.05,3.05,2.67,2.89,74600,2.89
2010-11-18,3.02,3.10,3.00,3.04,30900,3.04
2010-11-17,3.01,3.10,2.95,2.98,23500,2.98
2010-11-16,3.06,3.10,2.96,3.00,29500,3.00
2010-11-15,3.06,3.06,3.01,3.05,7300,3.05
2010-11-12,3.08,3.08,3.00,3.00,14600,3.00
2010-11-11,3.07,3.10,3.05,3.08,14500,3.08
2010-11-10,3.13,3.13,3.08,3.10,16300,3.10
2010-11-09,3.15,3.15,3.07,3.10,9900,3.10
2010-11-08,3.20,3.25,3.18,3.20,14800,3.20
2010-11-05,3.25,3.25,3.11,3.22,122900,3.22
2010-11-04,3.22,3.30,3.19,3.27,42300,3.27
2010-11-03,3.20,3.22,3.16,3.19,30100,3.19
2010-11-02,3.06,3.18,3.05,3.14,27700,3.14
2010-11-01,3.14,3.20,3.01,3.01,27800,3.01
2010-10-29,3.00,3.20,3.00,3.09,26300,3.09
2010-10-28,3.11,3.11,2.98,3.00,14300,3.00
2010-10-27,3.20,3.20,3.06,3.09,14800,3.09
2010-10-26,3.31,3.33,3.17,3.23,19800,3.23
2010-10-25,3.38,3.38,3.32,3.33,7300,3.33
2010-10-22,3.35,3.38,3.35,3.37,17900,3.37
2010-10-21,3.34,3.40,3.27,3.32,37900,3.32
2010-10-20,3.32,3.38,3.29,3.32,12700,3.32
2010-10-19,3.36,3.36,3.24,3.29,20900,3.29
2010-10-18,3.21,3.40,3.21,3.39,25300,3.39
2010-10-15,3.27,3.27,3.16,3.19,43100,3.19
