Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,3.65,3.65,3.60,3.62,7400,3.62
2016-12-29,3.73,3.76,3.68,3.68,4800,3.68
2016-12-28,3.69,3.70,3.63,3.70,1600,3.70
2016-12-27,3.89,3.89,3.70,3.71,2300,3.71
2016-12-23,3.56,3.94,3.56,3.71,13500,3.71
2016-12-22,3.47,3.73,3.47,3.56,5100,3.56
2016-12-21,3.49,3.49,3.42,3.49,6400,3.49
2016-12-20,3.46,3.49,3.41,3.49,8500,3.49
2016-12-19,3.74,3.74,3.30,3.45,26700,3.45
2016-12-16,3.60,3.69,3.48,3.69,4400,3.69
2016-12-15,3.60,3.81,3.34,3.53,5800,3.53
2016-12-14,3.83,3.90,3.60,3.66,21000,3.66
2016-12-13,3.75,4.07,3.75,3.85,60000,3.85
2016-12-12,3.39,3.79,3.26,3.79,33600,3.79
2016-12-09,3.16,3.40,3.16,3.39,33600,3.39
2016-12-08,3.15,3.44,3.15,3.39,15400,3.39
2016-12-07,3.23,3.40,3.04,3.19,16900,3.19
2016-12-06,3.26,3.37,3.22,3.26,5000,3.26
2016-12-05,3.18,3.42,3.18,3.22,26200,3.22
2016-12-02,3.25,3.25,3.01,3.07,32000,3.07
2016-12-01,3.20,3.41,2.95,3.21,6800,3.21
2016-11-30,3.27,3.27,3.11,3.11,6300,3.11
2016-11-29,3.11,3.28,3.02,3.21,12400,3.21
2016-11-28,3.14,3.47,2.87,3.15,38200,3.15
2016-11-25,3.08,3.50,3.08,3.23,69900,3.23
2016-11-23,2.61,3.15,2.60,3.14,45600,3.14
2016-11-22,2.68,2.69,2.59,2.59,5200,2.59
2016-11-21,2.77,2.77,2.55,2.71,24400,2.71
2016-11-18,2.75,2.94,2.75,2.80,32300,2.80
2016-11-17,2.71,2.97,2.40,2.88,51800,2.88
2016-11-16,2.88,2.88,2.70,2.83,23800,2.83
2016-11-15,2.85,2.90,2.85,2.86,10700,2.86
2016-11-14,2.85,2.94,2.85,2.86,3500,2.86
2016-11-11,2.70,2.90,2.70,2.86,13900,2.86
2016-11-10,2.68,2.82,2.68,2.79,37800,2.79
2016-11-09,2.71,2.75,2.71,2.75,7600,2.75
2016-11-08,2.70,2.97,2.69,2.75,7800,2.75
2016-11-07,2.69,2.78,2.69,2.70,20700,2.70
2016-11-04,2.70,2.74,2.66,2.74,6000,2.74
2016-11-03,2.72,2.72,2.65,2.65,6500,2.65
2016-11-02,2.73,2.73,2.62,2.62,5100,2.62
2016-11-01,2.75,2.75,2.71,2.72,3300,2.72
2016-10-31,2.78,2.78,2.59,2.68,5300,2.68
2016-10-28,2.67,2.80,2.58,2.76,13400,2.76
2016-10-27,2.83,2.84,2.56,2.72,12600,2.72
2016-10-26,2.35,2.84,2.31,2.80,27700,2.80
2016-10-25,2.24,2.41,2.18,2.35,32700,2.35
2016-10-24,2.30,2.30,2.27,2.27,9000,2.27
2016-10-21,2.30,2.30,2.27,2.29,8100,2.29
2016-10-20,2.27,2.35,2.25,2.26,6700,2.26
2016-10-19,2.09,2.34,1.93,2.22,31800,2.22
2016-10-18,2.00,2.07,2.00,2.07,3100,2.07
2016-10-17,2.10,2.10,2.08,2.08,2000,2.08
2016-10-14,2.13,2.17,2.10,2.10,6500,2.10
2016-10-13,2.06,2.16,2.01,2.08,12800,2.08
2016-10-12,2.02,2.19,2.02,2.16,16800,2.16
2016-10-11,2.02,2.08,2.01,2.08,4900,2.08
2016-10-10,2.06,2.06,2.01,2.02,7600,2.02
2016-10-07,2.04,2.10,2.04,2.09,700,2.09
2016-10-06,2.09,2.15,2.02,2.11,3200,2.11
2016-10-05,2.10,2.13,2.04,2.13,10300,2.13
2016-10-04,2.14,2.14,2.01,2.13,8800,2.13
2016-10-03,1.96,2.07,1.86,2.01,21700,2.01
2016-09-30,2.03,2.17,1.88,1.94,32800,1.94
2016-09-29,2.01,2.01,1.93,1.99,22200,1.99
2016-09-28,2.05,2.15,1.96,2.07,19800,2.07
2016-09-27,2.15,2.20,2.05,2.09,12100,2.09
2016-09-26,2.13,2.13,2.02,2.10,9900,2.10
2016-09-23,2.27,2.28,2.07,2.09,14200,2.09
2016-09-22,2.32,2.32,2.20,2.24,12300,2.24
2016-09-21,2.25,2.33,2.21,2.29,14800,2.29
2016-09-20,2.24,2.39,2.20,2.23,15500,2.23
