Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,4.98,5.00,4.89,4.99,31800,4.99
2016-12-29,5.00,5.00,4.90,5.00,6100,5.00
2016-12-28,5.00,5.00,4.88,4.99,16900,4.99
2016-12-27,4.92,5.00,4.92,4.97,11400,4.97
2016-12-23,4.88,4.98,4.87,4.96,18400,4.96
2016-12-22,4.92,4.96,4.81,4.85,14200,4.85
2016-12-21,4.96,4.98,4.88,4.92,13600,4.92
2016-12-20,4.95,5.00,4.95,5.00,25300,5.00
2016-12-19,4.95,5.00,4.85,4.99,24900,4.99
2016-12-16,4.89,5.00,4.89,4.90,64700,4.90
2016-12-15,4.83,4.96,4.48,4.86,42800,4.86
2016-12-14,4.77,5.05,4.70,4.79,50600,4.79
2016-12-13,4.96,4.97,4.75,4.83,36800,4.83
2016-12-12,4.90,5.00,4.80,4.99,36500,4.99
2016-12-09,4.85,4.98,4.60,4.90,84800,4.90
2016-12-08,4.61,4.86,4.61,4.78,75800,4.78
2016-12-07,4.39,4.77,4.37,4.65,68800,4.65
2016-12-06,4.43,4.47,4.25,4.41,77200,4.41
2016-12-05,4.57,4.63,4.40,4.47,134700,4.47
2016-12-02,4.77,4.96,4.45,4.65,85400,4.65
2016-12-01,4.94,5.04,4.80,4.81,28800,4.81
2016-11-30,5.00,5.13,4.97,4.98,33100,4.98
2016-11-29,4.99,5.13,4.96,5.03,68600,5.03
2016-11-28,4.91,5.00,4.91,4.99,34000,4.99
2016-11-25,4.80,5.00,4.74,4.97,18800,4.97
2016-11-23,4.98,5.00,4.60,4.85,65700,4.85
2016-11-22,5.09,5.13,4.91,4.98,39700,4.98
2016-11-21,5.13,5.13,4.94,5.04,28700,5.04
2016-11-18,5.06,5.06,4.98,5.00,28600,5.00
2016-11-17,5.04,5.16,5.00,5.03,37200,5.03
2016-11-16,5.00,5.09,4.97,5.03,27100,5.03
2016-11-15,5.07,5.22,4.73,5.00,35700,5.00
2016-11-14,5.00,5.02,4.87,5.02,42600,5.02
2016-11-11,4.90,4.95,4.80,4.95,76300,4.95
2016-11-10,5.35,5.35,4.77,4.90,180800,4.90
2016-11-09,5.12,5.51,4.97,5.51,40700,5.51
2016-11-08,5.30,5.35,5.08,5.15,8900,5.15
2016-11-07,5.01,5.29,5.01,5.25,15800,5.25
2016-11-04,5.17,5.17,4.95,4.97,9600,4.97
2016-11-03,5.11,5.11,4.95,4.96,8900,4.96
2016-11-02,5.06,5.13,4.94,5.07,12000,5.07
2016-11-01,5.37,5.37,5.05,5.05,15300,5.05
2016-10-31,5.23,5.23,4.94,5.18,25700,5.18
2016-10-28,5.06,5.09,4.97,5.02,10500,5.02
2016-10-27,4.96,5.07,4.96,5.01,14100,5.01
2016-10-26,5.03,5.04,4.97,5.02,12900,5.02
2016-10-25,5.16,5.16,5.07,5.11,7000,5.11
2016-10-24,5.15,5.17,5.02,5.09,20600,5.09
2016-10-21,5.10,5.15,5.07,5.09,5800,5.09
2016-10-20,5.16,5.24,5.14,5.16,10800,5.16
2016-10-19,5.08,5.19,5.08,5.17,4700,5.17
2016-10-18,5.20,5.23,5.08,5.12,21200,5.12
2016-10-17,5.17,5.25,5.16,5.20,19500,5.20
2016-10-14,5.30,5.31,5.26,5.28,13900,5.28
2016-10-13,5.37,5.37,5.31,5.32,5700,5.32
2016-10-12,5.48,5.49,5.29,5.36,4900,5.36
2016-10-11,5.53,5.53,5.27,5.34,18100,5.34
2016-10-10,5.48,5.55,5.47,5.50,5600,5.50
2016-10-07,5.44,5.44,5.35,5.38,6200,5.38
2016-10-06,5.44,5.44,5.37,5.41,4700,5.41
2016-10-05,5.37,5.39,5.34,5.37,15300,5.37
2016-10-04,5.46,5.46,5.28,5.31,8800,5.31
2016-10-03,5.43,5.46,5.38,5.42,7500,5.42
2016-09-30,5.32,5.45,5.31,5.43,31600,5.43
2016-09-29,5.33,5.46,5.33,5.40,9200,5.40
2016-09-28,5.37,5.43,5.03,5.42,46600,5.42
2016-09-27,5.54,5.54,5.40,5.42,11500,5.42
2016-09-26,5.71,5.71,5.47,5.48,13700,5.48
2016-09-23,5.70,5.70,5.55,5.56,34800,5.56
2016-09-22,5.45,5.86,5.45,5.67,79500,5.67
2016-09-21,5.35,5.44,5.30,5.38,10300,5.38
2016-09-20,5.32,5.36,5.31,5.32,4800,5.32
2016-09-19,5.33,5.33,5.28,5.32,5900,5.32
2016-09-16,5.28,5.30,5.28,5.28,33200,5.28
2016-09-15,5.20,5.29,5.20,5.27,12100,5.27
2016-09-14,5.20,5.30,5.09,5.15,18000,5.15
2016-09-13,5.31,5.34,5.18,5.25,40800,5.25
2016-09-12,5.33,5.39,5.32,5.38,23100,5.38
2016-09-09,5.31,5.53,5.27,5.42,32100,5.42
2016-09-08,5.12,5.38,5.12,5.37,18100,5.37
2016-09-07,4.90,5.11,4.90,5.05,43900,5.05
2016-09-06,4.65,4.91,4.64,4.88,94200,4.88
2016-09-02,4.74,4.79,4.50,4.70,591700,4.70
2016-09-01,4.78,4.78,4.60,4.69,19100,4.69
2016-08-31,4.76,4.84,4.75,4.81,8100,4.81
2016-08-30,4.87,4.87,4.79,4.80,11200,4.80
2016-08-29,4.59,4.88,4.59,4.81,14000,4.81
2016-08-26,4.59,4.64,4.59,4.63,2900,4.63
2016-08-25,4.69,4.72,4.60,4.61,1800,4.61
2016-08-24,4.74,4.78,4.60,4.65,43600,4.65
2016-08-23,4.82,4.83,4.72,4.74,31800,4.74
2016-08-22,4.77,4.90,4.75,4.90,29700,4.90
2016-08-19,4.80,4.84,4.73,4.77,20100,4.77
2016-08-18,4.70,4.80,4.68,4.79,18300,4.79
2016-08-17,4.68,4.71,4.63,4.68,5800,4.68
2016-08-16,4.71,4.72,4.68,4.69,20600,4.69
2016-08-15,4.79,4.82,4.65,4.76,20500,4.76
2016-08-12,4.63,4.93,4.63,4.82,18200,4.82
2016-08-11,4.68,4.95,4.68,4.89,19100,4.89
2016-08-10,4.76,4.76,4.67,4.67,6500,4.67
2016-08-09,4.80,4.80,4.73,4.78,10200,4.78
2016-08-08,4.72,4.74,4.72,4.72,8000,4.72
2016-08-05,4.72,4.78,4.70,4.72,25800,4.72
2016-08-04,4.87,4.87,4.71,4.75,18300,4.75
2016-08-03,4.79,4.87,4.79,4.87,5000,4.87
2016-08-02,4.87,4.90,4.87,4.87,5800,4.87
2016-08-01,4.85,4.91,4.77,4.84,16700,4.84
2016-07-29,4.97,4.97,4.82,4.84,36500,4.84
2016-07-28,4.83,4.98,4.83,4.93,10600,4.93
2016-07-27,4.82,4.89,4.82,4.85,5500,4.85
2016-07-26,4.95,4.95,4.85,4.88,3800,4.88
2016-07-25,4.83,4.83,4.64,4.74,23200,4.74
2016-07-22,4.92,4.96,4.84,4.85,21600,4.85
2016-07-21,4.89,4.89,4.83,4.83,10600,4.83
2016-07-20,4.94,4.95,4.88,4.93,10200,4.93
2016-07-19,4.97,4.99,4.87,4.95,8300,4.95
2016-07-18,4.98,5.00,4.87,4.97,13300,4.97
2016-07-15,4.91,4.95,4.87,4.94,11100,4.94
2016-07-14,4.89,4.91,4.86,4.88,5400,4.88
2016-07-13,4.92,4.97,4.88,4.90,16800,4.90
2016-07-12,4.81,4.99,4.81,4.95,13300,4.95
2016-07-11,4.71,4.93,4.71,4.82,16500,4.82
2016-07-08,4.56,4.76,4.55,4.74,26700,4.74
2016-07-07,4.56,4.58,4.53,4.54,10900,4.54
2016-07-06,4.43,4.54,4.43,4.53,46700,4.53
2016-07-05,4.46,4.54,4.43,4.43,22400,4.43
2016-07-01,4.48,4.55,4.48,4.50,15100,4.50
2016-06-30,4.40,4.55,4.40,4.51,31600,4.51
2016-06-29,4.42,4.49,4.40,4.47,37100,4.47
2016-06-28,4.41,4.51,4.40,4.44,28400,4.44
2016-06-27,4.53,4.60,4.39,4.40,41200,4.40
2016-06-24,4.52,4.64,4.51,4.60,162300,4.60
2016-06-23,4.59,4.61,4.55,4.60,41000,4.60
2016-06-22,4.60,4.60,4.55,4.58,29600,4.58
2016-06-21,4.63,4.66,4.57,4.58,9900,4.58
2016-06-20,4.64,4.70,4.63,4.65,21800,4.65
2016-06-17,4.70,4.70,4.54,4.55,56000,4.55
2016-06-16,4.80,4.80,4.64,4.71,8800,4.71
2016-06-15,4.62,4.62,4.53,4.62,29300,4.62
2016-06-14,4.59,4.63,4.46,4.56,40400,4.56
2016-06-13,4.64,4.66,4.64,4.64,10000,4.64
2016-06-10,4.58,4.69,4.58,4.63,9600,4.63
2016-06-09,4.57,4.64,4.54,4.57,12000,4.57
2016-06-08,4.60,4.65,4.57,4.64,17900,4.64
2016-06-07,4.65,4.66,4.60,4.62,6900,4.62
2016-06-06,4.63,4.69,4.63,4.65,9800,4.65
2016-06-03,4.61,4.75,4.61,4.68,18800,4.68
2016-06-02,4.53,4.68,4.53,4.68,10100,4.68
2016-06-01,4.57,4.57,4.51,4.53,20800,4.53
2016-05-31,4.67,4.67,4.53,4.61,10000,4.61
2016-05-27,4.62,4.70,4.55,4.64,21600,4.64
2016-05-26,4.66,4.68,4.59,4.63,12300,4.63
2016-05-25,4.59,4.68,4.58,4.67,14900,4.67
2016-05-24,4.54,4.61,4.54,4.61,23600,4.61
2016-05-23,4.52,4.59,4.51,4.53,11300,4.53
2016-05-20,4.53,4.58,4.48,4.52,15300,4.52
2016-05-19,4.38,4.52,4.31,4.50,45200,4.50
2016-05-18,4.25,4.41,4.19,4.33,66800,4.33
2016-05-17,4.27,4.27,4.05,4.11,29600,4.11
2016-05-16,4.23,4.30,4.20,4.25,11200,4.25
2016-05-13,4.24,4.31,4.21,4.23,26600,4.23
2016-05-12,4.22,4.29,4.20,4.24,15000,4.24
2016-05-11,4.25,4.33,4.20,4.21,21700,4.21
2016-05-10,4.30,4.30,4.14,4.27,15900,4.27
2016-05-09,4.25,4.37,3.97,4.30,11900,4.30
2016-05-06,4.25,4.25,4.16,4.25,13700,4.25
2016-05-05,4.44,4.45,4.19,4.19,62100,4.19
2016-05-04,4.55,4.60,4.49,4.49,15000,4.49
2016-05-03,4.69,4.69,4.51,4.53,11000,4.53
2016-05-02,4.55,4.69,4.51,4.67,25300,4.67
2016-04-29,4.58,4.65,4.52,4.55,29100,4.55
2016-04-28,4.58,4.63,4.57,4.58,19300,4.58
2016-04-27,4.67,4.76,4.61,4.69,22900,4.69
2016-04-26,4.64,4.83,4.41,4.76,21200,4.76
2016-04-25,4.41,4.63,4.41,4.60,16100,4.60
2016-04-22,4.40,4.51,4.40,4.45,27100,4.45
2016-04-21,4.39,4.53,4.31,4.38,32700,4.38
2016-04-20,4.33,4.52,4.33,4.42,14700,4.42
2016-04-19,4.44,4.54,4.42,4.49,15400,4.49
2016-04-18,4.45,4.50,4.37,4.43,14000,4.43
2016-04-15,4.37,4.49,4.27,4.44,16500,4.44
2016-04-14,4.00,4.48,4.00,4.40,63100,4.40
2016-04-13,4.03,4.17,3.97,4.01,233400,4.01
2016-04-12,4.11,4.18,3.96,3.99,55000,3.99
2016-04-11,4.04,4.19,4.03,4.08,21800,4.08
2016-04-08,4.06,4.14,4.01,4.04,33300,4.04
2016-04-07,4.10,4.17,4.05,4.06,13000,4.06
2016-04-06,4.16,4.20,4.12,4.14,27800,4.14
2016-04-05,4.16,4.24,4.10,4.14,18100,4.14
2016-04-04,4.20,4.22,4.12,4.18,28500,4.18
2016-04-01,4.30,4.37,4.11,4.18,50300,4.18
2016-03-31,4.35,4.41,4.27,4.27,27300,4.27
2016-03-30,4.42,4.56,4.26,4.37,12500,4.37
2016-03-29,4.38,4.59,4.36,4.37,44200,4.37
2016-03-28,4.32,4.45,4.32,4.40,17000,4.40
2016-03-24,4.28,4.35,4.23,4.32,12300,4.32
2016-03-23,4.40,4.44,4.25,4.30,19500,4.30
2016-03-22,4.34,4.47,4.30,4.43,12000,4.43
2016-03-21,4.40,4.46,4.34,4.37,15400,4.37
2016-03-18,4.42,4.46,4.27,4.39,54300,4.39
2016-03-17,4.40,4.42,4.31,4.39,8800,4.39
2016-03-16,4.35,4.45,4.31,4.41,13200,4.41
2016-03-15,4.47,4.54,4.37,4.37,9100,4.37
2016-03-14,4.47,4.55,4.41,4.51,14500,4.51
2016-03-11,4.39,4.50,4.34,4.50,39900,4.50
2016-03-10,4.48,4.48,4.26,4.36,41800,4.36
2016-03-09,4.49,4.53,4.40,4.50,11500,4.50
2016-03-08,4.54,4.64,4.42,4.45,29800,4.45
2016-03-07,4.69,4.77,4.55,4.59,30100,4.59
2016-03-04,4.17,4.75,4.17,4.73,62900,4.73
2016-03-03,4.66,4.99,4.55,4.67,57000,4.67
2016-03-02,4.39,4.67,4.35,4.55,47900,4.55
2016-03-01,4.40,4.44,4.30,4.43,20200,4.43
2016-02-29,4.36,4.50,4.36,4.44,25900,4.44
2016-02-26,4.31,4.45,4.29,4.38,14300,4.38
2016-02-25,4.24,4.31,4.15,4.31,18700,4.31
2016-02-24,4.02,4.23,3.97,4.23,19600,4.23
2016-02-23,4.23,4.39,4.07,4.07,47000,4.07
2016-02-22,3.98,4.27,3.98,4.25,87200,4.25
2016-02-19,3.97,4.00,3.94,3.96,11300,3.96
2016-02-18,4.02,4.14,3.90,3.97,48400,3.97
2016-02-17,3.91,4.06,3.87,4.03,57600,4.03
2016-02-16,3.93,4.05,3.87,3.90,29200,3.90
2016-02-12,3.68,3.94,3.68,3.90,24600,3.90
2016-02-11,3.61,3.78,3.43,3.67,67300,3.67
2016-02-10,3.84,3.89,3.67,3.68,57800,3.68
2016-02-09,3.84,4.07,3.77,3.80,29500,3.80
2016-02-08,4.13,4.22,3.81,3.87,65400,3.87
2016-02-05,4.33,4.49,4.15,4.16,42500,4.16
2016-02-04,4.47,4.50,4.36,4.39,11100,4.39
2016-02-03,4.41,4.51,4.13,4.49,51900,4.49
2016-02-02,4.47,4.57,4.39,4.39,38200,4.39
2016-02-01,4.47,4.57,4.41,4.53,14600,4.53
2016-01-29,4.40,4.54,4.37,4.50,22600,4.50
2016-01-28,4.46,4.49,4.36,4.38,10100,4.38
2016-01-27,4.62,4.67,4.40,4.42,39000,4.42
2016-01-26,4.51,4.66,4.45,4.62,32700,4.62
2016-01-25,4.57,4.68,4.46,4.49,42100,4.49
2016-01-22,4.30,4.61,4.11,4.58,84900,4.58
2016-01-21,4.16,4.44,4.03,4.30,145100,4.30
2016-01-20,4.20,4.23,3.92,4.19,100100,4.19
2016-01-19,4.48,4.54,4.14,4.28,56100,4.28
2016-01-15,4.41,4.51,4.25,4.44,72800,4.44
2016-01-14,4.55,4.62,4.47,4.54,27600,4.54
2016-01-13,4.65,4.71,4.45,4.54,71500,4.54
2016-01-12,4.62,4.78,4.51,4.68,69400,4.68
2016-01-11,4.68,4.70,4.53,4.62,62900,4.62
2016-01-08,4.80,4.82,4.67,4.69,30400,4.69
2016-01-07,4.85,5.03,4.77,4.78,28500,4.78
2016-01-06,4.92,5.06,4.87,4.91,26500,4.91
2016-01-05,4.85,5.05,4.84,5.04,33900,5.04
2016-01-04,4.88,4.95,4.76,4.83,67400,4.83
